product_id,trade_date,trade_time,trade_price,trade_quantity,bid_price,ask_price,trade_condition
AAPL,2024-01-02,09:35:25.807,184.8095,3653,184.79,184.83,@
AAPL,2024-01-02,09:58:12.982,185.4998,3849,185.46,185.54,@
AAPL,2024-01-02,10:11:30.386,184.3021,2930,184.26,184.34,@
AAPL,2024-01-02,10:44:32.938,185.5433,4031,185.5,185.59,@
AAPL,2024-01-02,10:51:23.247,183.9877,4924,183.97,184.0,@
AAPL,2024-01-02,11:17:46.995,184.3502,3342,184.34,184.36,@
AAPL,2024-01-02,11:28:43.704,184.3054,4970,184.27,184.34,@
AAPL,2024-01-02,11:55:15.209,184.9123,1637,184.87,184.96,@
AAPL,2024-01-02,12:17:12.848,183.7744,1269,183.73,183.82,@
AAPL,2024-01-02,12:32:51.144,184.3549,1132,184.32,184.39,@
AAPL,2024-01-02,12:59:33.477,184.2757,3327,184.25,184.3,@
AAPL,2024-01-02,13:10:15.607,183.4679,3634,183.46,183.48,@
AAPL,2024-01-02,13:39:13.137,183.9965,4500,183.98,184.01,@
AAPL,2024-01-02,13:44:46.078,184.6503,4652,184.61,184.69,@
AAPL,2024-01-02,14:19:31.776,186.0077,4833,185.99,186.02,@
AAPL,2024-01-02,14:35:49.565,183.9192,2979,183.88,183.95,@
AAPL,2024-01-02,14:42:00.933,184.7086,874,184.66,184.75,@
AAPL,2024-01-02,15:04:21.797,185.2154,3086,185.19,185.24,@
AAPL,2024-01-02,15:37:59.013,184.2698,3737,184.24,184.3,@
AAPL,2024-01-02,15:48:46.290,184.7634,3283,184.72,184.8,@
AMZN,2024-01-02,09:35:56.232,177.0739,1138,177.04,177.11,@
AMZN,2024-01-02,09:59:01.242,176.7056,2728,176.69,176.72,@
AMZN,2024-01-02,10:00:49.991,177.9707,480,177.94,178.0,@
AMZN,2024-01-02,10:18:34.221,177.8225,1979,177.78,177.86,@
AMZN,2024-01-02,10:32:46.621,178.2366,1526,178.22,178.25,@
AMZN,2024-01-02,10:51:19.999,177.601,2583,177.56,177.64,@
AMZN,2024-01-02,11:00:30.226,177.4514,606,177.43,177.48,@
AMZN,2024-01-02,11:27:56.281,177.6304,1032,177.59,177.67,@
AMZN,2024-01-02,11:42:45.263,177.6197,1283,177.58,177.66,@
AMZN,2024-01-02,11:45:51.755,178.0,2735,177.97,178.03,@
AMZN,2024-01-02,12:07:40.595,177.2275,990,177.2,177.25,@
AMZN,2024-01-02,12:19:59.404,176.8468,3033,176.83,176.87,@
AMZN,2024-01-02,12:42:57.403,177.7557,2411,177.72,177.8,@
AMZN,2024-01-02,12:48:13.871,177.7768,2612,177.75,177.8,@
AMZN,2024-01-02,13:09:39.485,177.3694,1339,177.35,177.39,@
AMZN,2024-01-02,13:17:50.054,177.3632,2594,177.34,177.38,@
AMZN,2024-01-02,13:30:56.090,176.7244,2104,176.71,176.73,@
AMZN,2024-01-02,13:51:02.494,177.6759,1319,177.64,177.72,@
AMZN,2024-01-02,14:06:19.530,177.3456,2766,177.33,177.36,@
AMZN,2024-01-02,14:22:36.649,176.9544,2718,176.91,177.0,@
AMZN,2024-01-02,14:30:27.089,177.7081,1023,177.69,177.73,@
AMZN,2024-01-02,14:50:28.882,177.3464,1842,177.3,177.39,@
AMZN,2024-01-02,15:03:54.349,177.2317,2576,177.22,177.24,@
AMZN,2024-01-02,15:20:42.775,177.6739,947,177.65,177.7,@
AMZN,2024-01-02,15:37:01.743,176.7723,1842,176.75,176.8,@
AMZN,2024-01-02,15:50:27.774,176.9767,2852,176.95,177.01,@
AUDUSD,2024-01-02,09:47:21.415,0.6667,100,0.6666,0.6668,@
AUDUSD,2024-01-02,10:12:58.293,0.6693,100,0.6692,0.6694,@
AUDUSD,2024-01-02,10:44:41.401,0.6703,100,0.6703,0.6704,@
AUDUSD,2024-01-02,11:29:51.015,0.6678,100,0.6677,0.6678,@
AUDUSD,2024-01-02,12:11:25.553,0.6721,100,0.672,0.6722,@
AUDUSD,2024-01-02,12:16:11.777,0.6677,100,0.6676,0.6678,@
AUDUSD,2024-01-02,13:09:39.521,0.6682,100,0.6681,0.6683,@
AUDUSD,2024-01-02,13:41:09.363,0.6718,100,0.6717,0.6718,@
AUDUSD,2024-01-02,14:07:41.974,0.6685,100,0.6684,0.6685,@
AUDUSD,2024-01-02,14:38:10.503,0.6697,100,0.6696,0.6697,@
AUDUSD,2024-01-02,14:57:43.172,0.6703,100,0.6702,0.6704,@
AUDUSD,2024-01-02,15:58:00.042,0.6725,100,0.6724,0.6726,@
BAC,2024-01-02,09:30:00.759,34.2069,1394,34.2,34.21,@
BAC,2024-01-02,09:47:10.735,33.9689,1113,33.96,33.97,@
BAC,2024-01-02,09:56:38.905,33.8717,742,33.87,33.88,@
BAC,2024-01-02,10:22:37.632,34.0928,641,34.08,34.1,@
BAC,2024-01-02,10:31:20.872,34.0432,1567,34.04,34.05,@
BAC,2024-01-02,10:47:41.267,34.0986,1493,34.09,34.1,@
BAC,2024-01-02,10:55:51.715,34.1662,1973,34.16,34.17,@
BAC,2024-01-02,11:14:14.210,34.1678,383,34.16,34.17,@
BAC,2024-01-02,11:22:45.569,33.9345,1918,33.93,33.94,@
BAC,2024-01-02,11:31:33.537,33.8785,1424,33.87,33.88,@
BAC,2024-01-02,11:45:28.098,34.3077,791,34.3,34.31,@
BAC,2024-01-02,12:02:15.082,34.0932,1778,34.09,34.1,@
BAC,2024-01-02,12:23:50.887,34.1028,1008,34.1,34.11,@
BAC,2024-01-02,12:24:35.763,34.0004,547,34.0,34.01,@
BAC,2024-01-02,12:43:16.511,34.2963,1973,34.29,34.3,@
BAC,2024-01-02,13:03:35.121,33.9134,1706,33.91,33.92,@
BAC,2024-01-02,13:13:14.377,34.1572,1730,34.15,34.16,@
BAC,2024-01-02,13:29:07.011,34.2091,1477,34.2,34.22,@
BAC,2024-01-02,13:33:50.437,34.3,1840,34.29,34.31,@
BAC,2024-01-02,13:52:16.799,34.3701,1051,34.36,34.38,@
BAC,2024-01-02,14:10:12.092,34.0129,1843,34.01,34.02,@
BAC,2024-01-02,14:23:22.694,34.2327,993,34.23,34.24,@
BAC,2024-01-02,14:34:07.730,34.072,1899,34.07,34.08,@
BAC,2024-01-02,14:44:07.613,34.0889,817,34.08,34.1,@
BAC,2024-01-02,15:01:55.185,34.1752,1059,34.17,34.18,@
BAC,2024-01-02,15:18:39.014,34.2024,1459,34.2,34.21,@
BAC,2024-01-02,15:31:33.981,34.5612,873,34.56,34.57,@
BAC,2024-01-02,15:37:54.418,34.1187,1932,34.11,34.13,@
BAC,2024-01-02,15:47:38.223,34.3471,1719,34.34,34.36,@
CL_FUT,2024-01-02,09:51:32.914,73.4636,100,73.27,73.65,@
CL_FUT,2024-01-02,10:35:49.753,73.3161,100,73.12,73.51,@
CL_FUT,2024-01-02,10:41:24.353,74.1849,100,73.99,74.37,@
CL_FUT,2024-01-02,11:35:26.661,73.3692,100,73.08,73.66,@
CL_FUT,2024-01-02,11:57:47.478,73.3295,100,73.0,73.66,@
CL_FUT,2024-01-02,12:33:53.768,73.669,100,73.33,74.01,@
CL_FUT,2024-01-02,13:14:12.280,73.2703,100,72.78,73.76,@
CL_FUT,2024-01-02,13:56:25.530,74.1758,100,73.86,74.5,@
CL_FUT,2024-01-02,14:32:20.843,73.9851,100,73.71,74.26,@
CL_FUT,2024-01-02,15:01:52.264,73.8801,100,73.46,74.3,@
CL_FUT,2024-01-02,15:54:24.974,73.6998,100,73.49,73.91,@
COP,2024-01-02,09:42:58.796,113.6614,100,113.65,113.67,@
COP,2024-01-02,09:47:16.442,114.4826,333,114.47,114.5,@
COP,2024-01-02,10:03:22.547,113.5487,100,113.52,113.58,@
COP,2024-01-02,10:17:23.724,113.7008,432,113.68,113.72,@
COP,2024-01-02,10:44:03.287,114.5444,293,114.53,114.56,@
COP,2024-01-02,10:49:11.005,113.7044,100,113.69,113.72,@
COP,2024-01-02,11:09:29.533,113.8041,257,113.78,113.83,@
COP,2024-01-02,11:25:23.908,113.6809,371,113.66,113.7,@
COP,2024-01-02,11:33:24.254,113.8608,423,113.84,113.88,@
COP,2024-01-02,11:47:55.352,113.64,363,113.62,113.66,@
COP,2024-01-02,12:10:03.753,113.9102,103,113.89,113.93,@
COP,2024-01-02,12:18:47.774,114.1978,253,114.19,114.21,@
COP,2024-01-02,12:42:57.325,113.7188,100,113.71,113.73,@
COP,2024-01-02,12:51:39.897,114.4452,323,114.43,114.46,@
COP,2024-01-02,13:11:08.334,113.9135,158,113.89,113.94,@
COP,2024-01-02,13:19:53.031,114.0788,378,114.07,114.09,@
COP,2024-01-02,13:35:22.072,114.2127,402,114.2,114.22,@
COP,2024-01-02,13:46:50.555,114.0633,274,114.05,114.07,@
COP,2024-01-02,14:12:12.939,114.0962,220,114.07,114.12,@
COP,2024-01-02,14:20:17.147,114.1706,302,114.16,114.18,@
COP,2024-01-02,14:37:20.447,114.0747,291,114.05,114.1,@
COP,2024-01-02,14:49:37.323,113.9423,100,113.92,113.96,@
COP,2024-01-02,15:14:34.343,114.2745,429,114.26,114.29,@
COP,2024-01-02,15:18:30.921,113.9965,248,113.98,114.01,@
COP,2024-01-02,15:37:20.524,114.3558,251,114.34,114.37,@
COP,2024-01-02,15:49:03.623,114.0716,439,114.05,114.09,@
COST,2024-01-02,09:44:59.416,673.7367,100,673.6,673.87,@
COST,2024-01-02,09:48:47.801,673.0282,242,672.95,673.1,@
COST,2024-01-02,10:16:30.409,675.1811,100,675.14,675.22,@
COST,2024-01-02,10:34:12.993,674.779,139,674.69,674.87,@
COST,2024-01-02,10:47:24.941,670.6281,100,670.53,670.72,@
COST,2024-01-02,11:04:40.251,675.1559,100,675.08,675.23,@
COST,2024-01-02,11:27:50.586,676.5993,202,676.54,676.66,@
COST,2024-01-02,11:41:23.541,678.4038,176,678.33,678.48,@
COST,2024-01-02,12:02:10.198,675.7893,266,675.64,675.94,@
COST,2024-01-02,12:18:28.476,670.0269,100,669.99,670.07,@
COST,2024-01-02,12:38:54.378,673.0574,264,672.91,673.2,@
COST,2024-01-02,12:51:57.751,673.7715,267,673.66,673.88,@
COST,2024-01-02,13:11:01.832,675.2598,100,675.18,675.34,@
COST,2024-01-02,13:26:19.327,677.0032,117,676.92,677.09,@
COST,2024-01-02,13:38:10.986,674.9048,170,674.84,674.97,@
COST,2024-01-02,14:01:18.325,673.7378,122,673.65,673.83,@
COST,2024-01-02,14:22:36.946,672.8149,217,672.65,672.98,@
COST,2024-01-02,14:39:03.733,673.2795,232,673.18,673.38,@
COST,2024-01-02,14:55:19.889,673.5024,120,673.43,673.58,@
